Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",2253117848,134555936,1,1,1,1024,1,1,37,304,6352,134.555936,192,210,,,,,
"test(int, int, int)",2253117976,141720007,1,1,1,1024,1,1,37,304,6352,141.720007,193,270,,,,,
"test(int, int, int)",2253118104,141702600,1,1,1,1024,1,1,37,304,6352,141.7026,194,207,,,,,
"test(int, int, int)",2396761564,120699041,1,1,1,1024,1,1,37,304,6352,120.699041,195,225,,,,,
"test(int, int, int)",2396761596,123949840,1,1,1,1024,1,1,37,304,6352,123.94984,196,213,,,,,
"test(int, int, int)",2396761692,123085678,1,1,1,1024,1,1,37,304,6352,123.085678,197,298,,,,,
"test(int, int, int)",2396761820,138102596,1,1,1,1024,1,1,37,304,6352,138.102596,198,283,,,,,
"test(int, int, int)",2396761852,121157233,1,1,1,1024,1,1,37,304,6352,121.157233,199,220,,,,,
"test(int, int, int)",2396761948,130131545,1,1,1,1024,1,1,37,304,6352,130.131545,200,211,,,,,
"test(int, int, int)",2396762076,120416906,1,1,1,1024,1,1,37,304,6352,120.416906,201,287,,,,,
"test(int, int, int)",2396762172,119797056,1,1,1,1024,1,1,37,304,6352,119.797056,202,208,,,,,
"test(int, int, int)",2396762332,134391909,1,1,1,1024,1,1,37,304,6352,134.391909,203,216,,,,,
"test(int, int, int)",2396762428,126431834,1,1,1,1024,1,1,37,304,6352,126.431834,204,216,,,,,
"test(int, int, int)",2396762556,124549083,1,1,1,1024,1,1,37,304,6352,124.549083,205,283,,,,,
"test(int, int, int)",2396762652,128787528,1,1,1,1024,1,1,37,304,6352,128.787528,206,273,,,,,
"test(int, int, int)",2396783419,118593898,1,1,1,1024,1,1,37,304,6352,118.593898,207,280,,,,,
"test(int, int, int)",2535178997,96147445,1,1,1,1024,1,1,37,304,6352,96.147445,208,286,,,,,
"test(int, int, int)",2535178997,104898950,1,1,1,1024,1,1,37,304,6352,104.89895,209,791,,,,,
"test(int, int, int)",2535179253,101930701,1,1,1,1024,1,1,37,304,6352,101.930701,210,494,,,,,
"test(int, int, int)",2535179669,113474140,1,1,1,1024,1,1,37,304,6352,113.47414,211,296,,,,,
"test(int, int, int)",2535179669,100995949,1,1,1,1024,1,1,37,304,6352,100.995949,212,290,,,,,
"test(int, int, int)",2535179797,99771288,1,1,1,1024,1,1,37,304,6352,99.771288,213,497,,,,,
"test(int, int, int)",2535179925,104686541,1,1,1,1024,1,1,37,304,6352,104.686541,214,278,,,,,
"test(int, int, int)",2535180053,97958199,1,1,1,1024,1,1,37,304,6352,97.958199,215,278,,,,,
"test(int, int, int)",2535180149,100404546,1,1,1,1024,1,1,37,304,6352,100.404546,216,285,,,,,
